,artist,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
67,dream theater,the astonishing,16,3uq747s2qjovljsrol9ahl,a tempting offer,spotify:track:3uq747s2qjovljsrol9ahl,0.00239,0.279,0.695,0.00134,0.122,-6.825,0.0365,144.784,0.0963,27
68,dream theater,the astonishing,17,2epwtngpiowm967rsaz4hw,digital discord,spotify:track:2epwtngpiowm967rsaz4hw,0.517,0.244,0.427,0.955,0.0992,-16.649,0.0902,81.594,0.0542,26
69,dream theater,the astonishing,18,0956eaathdvin0bedzshze,the x aspect,spotify:track:0956eaathdvin0bedzshze,0.196,0.29,0.33,0.00754,0.243,-9.608,0.0286,129.989,0.0365,28
70,dream theater,the astonishing,19,0tdm6gjkwozq2rtnar1eg9,a new beginning,spotify:track:0tdm6gjkwozq2rtnar1eg9,0.000872,0.329,0.924,0.00607,0.0789,-5.748,0.0548,114.253,0.452,30
71,dream theater,the astonishing,20,7lwlvscijy2vmxsfvxnd3d,the road to revolution,spotify:track:7lwlvscijy2vmxsfvxnd3d,0.00125,0.351,0.702,0.000581,0.175,-6.32,0.0316,128.177,0.266,27
72,dream theater,the astonishing,21,6k2qpfowlwpc6cu1uwye6n,2285 entr'acte,spotify:track:6k2qpfowlwpc6cu1uwye6n,0.00206,0.36,0.64,0.573,0.0744,-7.542,0.0282,102.347,0.366,26
73,dream theater,the astonishing,22,2rngx3vv2fln2acmxqeuxp,moment of betrayal,spotify:track:2rngx3vv2fln2acmxqeuxp,0.000112,0.474,0.931,0.000139,0.0943,-6.249,0.0509,163.03,0.312,29
74,dream theater,the astonishing,23,6ob16okvrzwvby1zkoh6rd,heaven's cove,spotify:track:6ob16okvrzwvby1zkoh6rd,0.474,0.493,0.391,0.31,0.0881,-11.818,0.0376,111.015,0.0757,27
75,dream theater,the astonishing,24,4bmyt29mgnyqwxvrrmmpm5,begin again,spotify:track:4bmyt29mgnyqwxvrrmmpm5,0.348,0.338,0.41,0.00122,0.104,-9.495,0.0295,120.907,0.105,28
76,dream theater,the astonishing,25,1mmrfuvojydnctumj9qwhx,the path that divides,spotify:track:1mmrfuvojydnctumj9qwhx,0.000896,0.304,0.87,0.000396,0.396,-8.786,0.0576,129.945,0.29,27
77,dream theater,the astonishing,26,1aws0rucxzi3rgnbgdpyvy,machine chatter,spotify:track:1aws0rucxzi3rgnbgdpyvy,0.000551,0.323,0.388,0.0912,0.0616,-15.212,0.0392,140.036,0.0353,24
78,dream theater,the astonishing,27,6zmka0sgyfvufyg8hhncdp,the walking shadow,spotify:track:6zmka0sgyfvufyg8hhncdp,0.000578,0.582,0.711,0.0286,0.201,-7.169,0.0507,132.018,0.354,26
79,dream theater,the astonishing,28,0jxefg7o0cqfgavywdllgj,my last farewell,spotify:track:0jxefg7o0cqfgavywdllgj,0.000476,0.409,0.923,0.0154,0.492,-6.225,0.0423,109.937,0.184,26
80,dream theater,the astonishing,29,2tadnirvqzygllj3ah0hjb,losing faythe,spotify:track:2tadnirvqzygllj3ah0hjb,0.412,0.486,0.479,7.69e-06,0.193,-7.87,0.0297,132.063,0.248,26
81,dream theater,the astonishing,30,6mrntzliry1mv6hcfpfb8l,whispers on the wind,spotify:track:6mrntzliry1mv6hcfpfb8l,0.796,0.263,0.192,0.0,0.283,-12.593,0.0321,149.385,0.252,25
82,dream theater,the astonishing,31,6hlr0i9ybygcv4wyutxboi,hymn of a thousand voices,spotify:track:6hlr0i9ybygcv4wyutxboi,0.101,0.222,0.488,0.0,0.071,-9.039,0.0259,85.466,0.295,27
